id,totalArea,wTOF16,mlra80_5_16,mlra80_10_16,mlra80_20_16,mlra80_50_16,mlra80_100_16,mlra80_200_16,mlra80_500_16,mlra80_1000_16
63,4,2.945168353874582,NA,NA,4,4,4,4,4,4
72,51,31.328489598928257,47,47,45,41,44,43,44,44
77,66,86.39116032236842,55,55,53,55,55,55,56,56
78,218,458.0357397752508,183,167,169,146,163,166,167,162
79,809,963.3133938813812,470,433,431,463,514,480,519,524
80,176,265.04367496303234,90,94,85,86,83,79,78,74
81,166,414.4461885690428,112,121,121,131,131,130,135,132
86,346,1300.5615950883598,98,90,80,55,64,67,68,68
87,244,492.76604302987585,193,189,125,188,198,205,205,205
88,242,1041.2078771268953,182,112,104,112,114,125,129,126
89,7,13.017530574289989,5,5,6,6,6,6,6,6
90,296,468.99526695688365,94,87,69,72,68,66,62,63
142,351,761.1554204307769,16,94,57,69,73,82,80,82
146,112,333.28443162596113,61,55,72,61,69,69,69,66
150,223,487.89082698116704,74,39,56,47,54,47,47,52
